Persistence Class;Destination Class;Connectivity Strength
org.sigaept.edu.dao.ElementoEletivaDAO;org.sigaept.edu.negocio.ejb.ManterMatrizCurricularEJB;102.34843408430997
org.sigaept.edu.dao.TipoParticipanteDAO;org.sigaept.edu.negocio.ejb.ManterParticipacaoEJB;0.3
org.sigaept.edu.dao.SupervisaoEstagioDAO;org.sigaept.edu.negocio.ejb.ManterPlanoEstagioEJB;64.05383889955797
org.sigaept.edu.dao.ProgramaEducacaoSuperiorDAO;org.sigaept.edu.negocio.ejb.ManterProgramaEducacaoSuperiorEJB;0.0
org.sigaept.edu.dao.TipoEquipamentoDAO;org.sigaept.edu.negocio.ejb.ManterReservaEquipamentoEnsinoEJB;0.15
org.sigaept.edu.dao.ModalidadeBolsaPesquisaExtensaoDAO;org.sigaept.edu.negocio.ejb.ManterProjetoExtensaoEJB;0.15
org.sigaept.edu.dao.ConfiguracaoGeralDAO;org.sigaept.edu.negocio.ejb.EfetuarLoginEJB;5.064
org.sigaept.edu.dao.PlanoEnsinoDAO;org.sigaept.edu.negocio.ejb.ManterPlanoEnsinoEJB;69.77924036381697
org.sigaept.edu.dao.UnidadeFederativaDAO;org.sigaept.edu.negocio.ejb.ManterAlunoEJB;0.15
org.sigaept.edu.dao.MatriculaDAO;org.sigaept.edu.negocio.ejb.VincularAlunoAClasseEJB;148.47008786454003
org.sigaept.edu.dao.CDUDAO;org.sigaept.edu.negocio.ejb.ManterCDUEJB;0.3
org.sigaept.edu.dao.PerfilAcaoDAO;org.sigaept.edu.negocio.ejb.ManterPerfilEJB;16.38516
org.sigaept.edu.dao.ConceitoAvaliacaoDAO;org.sigaept.edu.negocio.ejb.ManterDiarioClasseEJB;0.6
org.sigaept.edu.dao.TipoParentescoDAO;org.sigaept.edu.negocio.ejb.ManterAlunoEJB;0.15
org.sigaept.edu.dao.RegraAcademicaDAO;org.sigaept.edu.negocio.ejb.ManterRegraAcademicaEJB;81.81889159409997
org.sigaept.edu.dao.EnturmacaoDAO;org.sigaept.edu.negocio.ejb.VincularAlunoAClasseEJB;3080.5946741411003
org.sigaept.edu.dao.NivelFuncionalServidorDAO;org.sigaept.edu.negocio.ejb.ManterServidorEJB;0.9099
org.sigaept.edu.dao.AreaConhecimentoDAO;org.sigaept.edu.negocio.ejb.ManterCursoEJB;0.44999999999999996
org.sigaept.edu.dao.RelatorioEstagioDAO;org.sigaept.edu.negocio.ejb.ManterRelatorioEstagioEJB;11.592830789999999
org.sigaept.edu.dao.PerfilDAO;org.sigaept.edu.negocio.ejb.ManterPerfilEJB;16.947600000000005
org.sigaept.edu.dao.CategoriaDataEspecialDAO;org.sigaept.edu.negocio.ejb.ManterCategoriaDataEspecialEJB;0.0
org.sigaept.edu.dao.AbrangenciaProjetoExtensaoDAO;org.sigaept.edu.negocio.ejb.ManterProjetoExtensaoEJB;0.15
org.sigaept.edu.dao.EixoTecnologicoCursoNaoCatalagoDAO;org.sigaept.edu.negocio.ejb.ManterEixoTecnologicoCursoNaoCatalagoEJB;0.0
org.sigaept.edu.dao.TipoUnidadeEnsinoDAO;org.sigaept.edu.negocio.ejb.ManterElementoOrganizacionalEJB;0.15
org.sigaept.edu.dao.FuncaoServidorDAO;org.sigaept.edu.negocio.ejb.ManterElementoOrganizacionalEJB;3.0297
org.sigaept.edu.dao.AuditTipoOperacaoDAO;org.sigaept.edu.negocio.ejb.AuditTipoOperacaoEJB;0.0
org.sigaept.edu.dao.RelatorioAcompanhamentoDAO;org.sigaept.edu.negocio.ejb.ManterAvaliarProjetoExtensaoEJB;0.15
org.sigaept.edu.dao.AtividadeComplementarDAO;org.sigaept.edu.negocio.ejb.ManterElementoCurricularEJB;0.8999999999999999
org.sigaept.edu.dao.NivelRendaFamiliarDAO;org.sigaept.edu.negocio.ejb.ManterAlunoEJB;0.15
org.sigaept.edu.dao.AvaliacaoDocenteDAO;org.sigaept.edu.negocio.ejb.ManterAvaliacaoDocenteEJB;127.24586517526915
org.sigaept.edu.dao.TipoRegistroLegalDAO;org.sigaept.edu.negocio.ejb.ManterTipoRegistroLegalEJB;0.0
org.sigaept.edu.dao.AuditoriaRecuperacaoSenhaDAO;org.sigaept.edu.negocio.ejb.ManterAuditoriaRecuperacaoSenhaEJB;0.0
org.sigaept.edu.dao.MotivoEnadeDAO;org.sigaept.edu.negocio.ejb.ManterMatriculaEJB;0.15
